Part Name,Part Number,Description,Value,Size,Quantity,Cost Per,Shipping Estimate,Cost Sum,Total Sum,Part Link,Section Sum
Electronics,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
22k Resistor,,0603 SMD,22k,0603,2,$0.10,,$0.20,$0.20,,$19.50
47k Resistor,,0603 SMD,47k,0603,2,$0.10,,$0.20,$0.20,,
100 Resistor,,0603 SMD,100,0603,2,$0.10,,$0.20,$0.20,,
1k Trimpot,,"3 Pin Trimpot, 10mil pitch",1k,RTRIMT93YA,2,$1.25,,$2.50,$2.50,https://www.digikey.com/en/products/detail/bourns-inc/PV36W103C01B00/666502, 
50k Trimpot,,"3 Pin Trimpot, 10mil pitch",50k,RTRIMT93YA,2,$1.25,,$2.50,$2.50,https://www.digikey.com/en/products/detail/bourns-inc/PV36W103C01B00/666502, 
Hall Effect Sensor,DRV5053CAQLPG,Linear Hall Sensor- Through Hole,,TO-92,2,$1.50,,$3.00,$3.00,https://www.digikey.com/en/products/detail/texas-instruments/TLC2254CDR/276943, 
R2R Op-Amp,TLC2254CDR,Rail to Rail Quad Op Amp,,SOIC-14,1,$3.00,$2.00,$3.00,$5.00,https://www.digikey.com/en/products/detail/texas-instruments/DRV5053CAQLPGM/5177930, 
PCB,,Custom Built PCB,,,1,$2.00,$2.00,$2.00,$4.00,,
JST-PH Connector,,"JST-PH 4 Pin, 90 Degrees",90 Deg,PH,1,$0.90,$0.50,$0.90,$1.40,,
Wires,,30 AWG Stranded,,12 in.,4,,$0.50,$0.00,$0.50,,
,,,,,,,,,,,
,,,,,,,,,,,
Mechanical Components,,,,,,,,,,,
,,,,,,,,,,,
Bar Magnet,B228,K&J Magnetics; Length Magnetized,N42,"1/8"" x 1/8"" x 1/2""",2,$0.60,$5.00,$1.20,$6.20,https://www.kjmagnetics.com/proddetail.asp?prod=B228,$7.90
M3 Screws,,M3 x 12mm screws,M3,12mm,4,$0.10,$0.50,$0.40,$0.90,, 
,,,,,,,,,,, 
3DP Gate (P),,Printed PLA Replacement Gate,,,1,$0.20,$0.00,$0.20,$0.20,https://github.com/Sharp-02/JLF-Sharp-Analog-Snap-In/tree/main/Build-Files/3DPrint-STLs, 
3DP Arm (P),,Printed PLA Slider Arm,,,2,$0.20,$0.00,$0.40,$0.40,https://github.com/Sharp-02/JLF-Sharp-Analog-Snap-In/tree/main/Build-Files/3DPrint-STLs, 
3DP Guide (P),,Printed PLA Slider Guide,,,1,$0.20,$0.00,$0.20,$0.20,https://github.com/Sharp-02/JLF-Sharp-Analog-Snap-In/tree/main/Build-Files/3DPrint-STLs, 
,,,,,,,,,,,
3DP Gate (N),,Printed Nylon Replacement Gate,,,1,$2.00,$0.00,$2.00,$2.00,https://github.com/Sharp-02/JLF-Sharp-Analog-Snap-In/tree/main/Build-Files/3DPrint-STLs,$14.10
3DP Arm (N),,Printed Nylon Slider Arm,,,2,$1.50,$0.00,$3.00,$3.00,https://github.com/Sharp-02/JLF-Sharp-Analog-Snap-In/tree/main/Build-Files/3DPrint-STLs, 
3DP Guide (N),,Printed Nylon Slider Guide,,,1,$2.00,$0.00,$2.00,$2.00,https://github.com/Sharp-02/JLF-Sharp-Analog-Snap-In/tree/main/Build-Files/3DPrint-STLs, 
,,,,,,,,,,, 
Sanwa JLF Lever,JLF-TP-8YT,Sanwa-Denshi JLF Lever,,,1,$25.00,$2.00,$25.00,$27.00,https://focusattack.com/sanwa-jlf-tp-8yt-joystick/, 
,,,,,,,,,,, 
,,,,,,,Mod Sum (PLA),$16.90,$27.40,,
